Id2,Geography,IBP_Men,IBP_Children,IBP_Women,IAP_Men,IAP_Children,IAP_Women,Percent_IBP_Men,Percent_IAP_Men,Percent_IBP_Women,Percent_IAP_Women,Percent_IBP_Children,Percent_IAP_Children,Total_Population,Male,Female,Women,Men,Boys,Girls,Children,Percent_Female,Percent_Male,Percent_Women,Percent_Men,Percent_Boys,Percent_Girls,Total_Pop_Education,Male_Pop_Education,Male_Less_than_high_school_diploma,Male_High_school_graduate_(includes_equivalency),Male_Some_college_or_associates_degree,Male_Bachelors_degree_or_higher,Female_Pop_Education,Female_Less_than_high_school_diploma,Female_High_school_graduate_(includes_equivalency),Female_Some_college_or_associates_degree,Female_Bachelors_degree_or_higher,P_Male_Less_than_high_school_diploma,P_Male_High_school_graduate_(includes_equivalency),P_Male_Some_college_or_associates_degree,P_Male_Bachelors_degree_or_higher,P_Female_Less_than_high_school_diploma,P_Female_High_school_graduate_(includes_equivalency),P_Female_Some_college_or_associates_degree,P_Female_Bachelors_degree_or_higher,P_NoHealthInsurance,P_18to64_NoHealthInsurance,Total_Median_Earnings,Male_Median_Earnings,Male_FT_Median_Earnings,Male_Other_Median_Earnings,Female_Median_Earnings,Female_FT_Median_Earnings,Female_Other_Median_Earnings,Female_Unemployment_Rate,Male_Unemployment_Rate
28101,"Newton County, Mississippi",491,856,724,1459,951,1796,0.2517948717948718,0.7482051282051282,0.2873015873015873,0.7126984126984127,0.47371333702268953,0.5262866629773104,6568,3019,3549,2618,2136,883,865,1748,0.540347137637028,0.459652862362972,0.550694152292806,0.44930584770719395,0.5051487414187643,0.4948512585812357,3781,1604,401,720,431,52,2177,507,713,688,269,0.25,0.4488778054862843,0.26870324189526185,0.032418952618453865,0.23288929719797888,0.32751492880110245,0.31603123564538355,0.12356453835553514,0.12553846153846154,0.19914508423434749,19524,20694.0,25741.0,4670.0,18888.0,22024.0,8250.0,0.0425531914893617,0.18571428571428572
28103,"Noxubee County, Mississippi",753,840,1342,1773,1093,1733,0.2980997624703088,0.7019002375296912,0.43642276422764226,0.5635772357723577,0.4345576823590274,0.5654423176409726,7682,3691,3991,3087,2607,1084,952,2036,0.519526165061182,0.480473834938818,0.5421496311907271,0.45785036880927293,0.5324165029469549,0.4675834970530452,4829,2172,801,759,412,200,2657,826,798,549,484,0.3687845303867403,0.3494475138121547,0.18968692449355432,0.09208103130755065,0.3108769288671434,0.30033872788859617,0.20662401204365827,0.18216033120060218,0.16431677427856106,0.24941327074887987,19025,23869.0,40865.0,6250.0,16918.0,26655.0,5334.0,0.20084790673025968,0.18176020408163265
28105,"Oktibbeha County, Mississippi",1227,2474,3134,4155,1923,3865,0.22798216276477146,0.7720178372352285,0.4477782540362909,0.5522217459637091,0.5626563566067774,0.4373436433932226,18276,8368,9908,7680,6098,2270,3138,5408,0.5421317574961698,0.4578682425038302,0.5574103643489621,0.44258963565103787,0.4197485207100592,0.5802514792899408,9504,4080,1439,1104,894,643,5424,931,1868,1266,1359,0.3526960784313726,0.27058823529411763,0.21911764705882353,0.15759803921568627,0.17164454277286137,0.3443952802359882,0.2334070796460177,0.25055309734513276,0.16979253112033196,0.23175363276089828,15048,16997.0,33232.0,8517.0,12363.0,23954.0,4661.0,0.1752051452650255,0.2130142982200175
28107,"Panola County, Mississippi",1346,1981,1831,4074,3192,4777,0.24833948339483394,0.7516605166051661,0.27708837772397094,0.722911622276029,0.38294993234100133,0.6170500676589986,17270,8090,9180,6618,5469,2621,2304,4925,0.5315576143601621,0.46844238563983787,0.5475304045668901,0.45246959543310994,0.5321827411167512,0.4678172588832487,10097,4510,1601,1806,691,412,5587,1191,2205,1368,823,0.3549889135254989,0.40044345898004435,0.15321507760532152,0.09135254988913526,0.21317343833900126,0.3946661893681761,0.24485412564882764,0.147306246643995,0.1676159479251424,0.2504983388704319,24588,25953.0,32315.0,7338.0,23403.0,27105.0,11629.0,0.0673616680032077,0.13497822931785197
28109,"Pearl River County, Mississippi",494,1539,929,1636,509,1494,0.231924882629108,0.7680751173708921,0.3834089971110194,0.6165910028889806,0.75146484375,0.24853515625,7157,3554,3603,2662,2447,1107,1085,2192,0.5034232220203996,0.49657677797960037,0.5210412996672539,0.4789587003327461,0.5050182481751825,0.4949817518248175,3980,1984,610,668,656,50,1996,302,619,832,243,0.3074596774193548,0.33669354838709675,0.33064516129032256,0.025201612903225805,0.15130260521042085,0.31012024048096193,0.4168336673346693,0.12174348697394789,0.19912663755458515,0.3023973415618324,17820,19516.0,28153.0,10496.0,17085.0,24450.0,7940.0,0.19123783031988872,0.17774667599720084
28111,"Perry County, Mississippi",128,290,367,692,341,578,0.15609756097560976,0.8439024390243902,0.38835978835978835,0.6116402116402117,0.4595879556259905,0.5404120443740095,2436,1149,1287,965,825,324,263,587,0.5283251231527094,0.47167487684729065,0.5391061452513967,0.46089385474860334,0.5519591141396933,0.44804088586030666,1543,704,116,265,278,45,839,151,239,339,110,0.16477272727272727,0.37642045454545453,0.39488636363636365,0.06392045454545454,0.1799761620977354,0.28486293206197855,0.40405244338498214,0.13110846245530394,0.11540058115400581,0.18083670715249664,19421,21496.0,35197.0,,16463.0,24000.0,7287.0,0.13127413127413126,0.06666666666666667
28113,"Pike County, Mississippi",1843,4023,3485,4428,2355,4512,0.29389252112900655,0.7061074788709935,0.43578842065774664,0.5642115793422533,0.6307619943555973,0.3692380056444026,21160,9901,11259,8090,6623,3278,2357,5635,0.5320888468809074,0.46791115311909265,0.5498538707265683,0.45014612927343167,0.5817213842058563,0.41827861579414377,12424,5489,1561,2312,1346,270,6935,1829,2005,2268,833,0.2843869557296411,0.4212060484605575,0.24521770814355984,0.049189287666241574,0.26373467916366256,0.2891131939437635,0.3270367700072098,0.1201153568853641,0.17600536835546182,0.2731631989596879,20147,23605.0,28750.0,9431.0,17285.0,24846.0,9519.0,0.11479713603818616,0.14411060888061686
28115,"Pontotoc County, Mississippi",103,556,486,1457,784,1237,0.06602564102564103,0.933974358974359,0.2820661636680209,0.7179338363319792,0.41492537313432837,0.5850746268656717,4671,2269,2402,1763,1568,701,525,1226,0.5142367801327339,0.4857632198672661,0.5292704893425397,0.4707295106574602,0.5717781402936378,0.4282218597063622,2869,1329,479,316,357,177,1540,491,314,383,352,0.36042136945071485,0.23777276147479307,0.2686230248306998,0.13318284424379231,0.31883116883116885,0.2038961038961039,0.2487012987012987,0.22857142857142856,0.08717283149470041,0.14145314145314145,24289,30981.0,34762.0,5536.0,16384.0,20552.0,8125.0,0.06699751861042183,0.0945273631840796
28117,"Prentiss County, Mississippi",420,410,630,705,231,711,0.37333333333333335,0.6266666666666667,0.4697986577181208,0.5302013422818792,0.6396255850234009,0.36037441497659906,3403,1707,1696,1411,1319,388,358,746,0.49838377901851305,0.501616220981487,0.5168498168498169,0.48315018315018315,0.5201072386058981,0.47989276139410186,2050,913,257,270,357,29,1137,220,322,529,66,0.28148959474260676,0.29572836801752467,0.3910186199342826,0.03176341730558598,0.19349164467897978,0.2832014072119613,0.465259454705365,0.05804749340369393,0.23725254949010197,0.3145539906103286,13325,14783.0,25175.0,,12324.0,17868.0,6818.0,0.15937940761636107,0.2679900744416873
28119,"Quitman County, Mississippi",535,823,886,1183,604,1248,0.31140861466821884,0.6885913853317811,0.41518275538894095,0.584817244611059,0.5767344078486335,0.4232655921513665,5379,2539,2840,2134,1781,758,549,1307,0.5279791782859268,0.4720208217140732,0.5450830140485313,0.45491698595146873,0.5799540933435348,0.4200459066564652,3341,1492,606,490,286,110,1849,570,549,485,245,0.4061662198391421,0.3284182305630027,0.19168900804289543,0.07372654155495978,0.30827474310438074,0.2969172525689562,0.26230394808004326,0.1325040562466198,0.21858540255831452,0.31267175572519085,18591,24000.0,33409.0,10385.0,15954.0,19444.0,10144.0,0.2773913043478261,0.3383742911153119
28121,"Rankin County, Mississippi",1023,1410,1614,7424,6150,9185,0.12110808571090328,0.8788919142890967,0.149458283174368,0.850541716825632,0.1865079365079365,0.8134920634920635,29405,14239,15166,11388,10288,3951,3503,7454,0.5157626254038429,0.4842373745961571,0.5253736851817679,0.47462631481823214,0.5300509793399517,0.4699490206600483,18626,8666,1778,2898,2712,1278,9960,1331,2188,3470,2971,0.20516962843295639,0.3344103392568659,0.3129471497807524,0.14747288252942534,0.13363453815261045,0.21967871485943774,0.34839357429718876,0.29829317269076305,0.1206183646861613,0.15646893974778142,27091,27038.0,39359.0,6369.0,27140.0,32231.0,9439.0,0.08200337355650707,0.06635570267830274
28123,"Scott County, Mississippi",991,1583,1309,2332,1516,2779,0.29822449593740596,0.701775504062594,0.3202054794520548,0.6797945205479452,0.5108099386899,0.4891900613101,10683,4986,5697,4092,3382,1604,1449,3053,0.5332771693344566,0.4667228306655434,0.5474979930425475,0.4525020069574525,0.5253848673435965,0.47461513265640354,6311,2797,1000,1022,664,111,3514,1129,839,1167,379,0.3575259206292456,0.36539149088308903,0.2373972112978191,0.039685377189846265,0.32128628343767784,0.23875924871940807,0.33210017074558906,0.10785429709732498,0.1562588301780164,0.2552386954466677,17144,18484.0,29213.0,3983.0,16538.0,21617.0,7780.0,0.18799832144355855,0.23329907502569372
28125,"Sharkey County, Mississippi",342,405,508,734,551,874,0.31784386617100374,0.6821561338289963,0.3675832127351664,0.6324167872648335,0.4236401673640167,0.5763598326359832,3442,1574,1868,1395,1091,483,491,974,0.5427077280650784,0.45729227193492156,0.5611423974255833,0.43885760257441675,0.49589322381930184,0.5041067761806981,2081,864,316,343,178,27,1217,367,259,418,173,0.36574074074074076,0.39699074074074076,0.20601851851851852,0.03125,0.30156121610517667,0.21281840591618734,0.34346754313886607,0.14215283483976993,0.247510251903925,0.37630827783063747,18343,16971.0,22000.0,10462.0,19429.0,25820.0,8750.0,0.2420814479638009,0.40947546531302875
28127,"Simpson County, Mississippi",942,1439,1365,2076,1250,2325,0.3121272365805169,0.6878727634194831,0.3699186991869919,0.6300813008130082,0.5351431759018223,0.46485682409817775,9659,4585,5074,3723,3132,1453,1156,2609,0.5253131794181592,0.47468682058184075,0.5431072210065645,0.45689277899343544,0.5569183595247221,0.44308164047527787,5801,2589,596,1122,826,45,3212,912,1073,949,278,0.23020471224410968,0.43337195828505215,0.31904210119737353,0.01738122827346466,0.28393524283935245,0.33405977584059776,0.29545454545454547,0.08655043586550436,0.1950622539108226,0.26025708751540766,21360,23070.0,24914.0,6570.0,20111.0,25894.0,10761.0,0.23190184049079754,0.13527397260273974
28129,"Smith County, Mississippi",271,726,493,1003,449,1027,0.21271585557299844,0.7872841444270016,0.3243421052631579,0.6756578947368421,0.617872340425532,0.3821276595744681,4005,1826,2179,1543,1287,539,676,1215,0.5440699126092384,0.4559300873907616,0.5452296819787986,0.45477031802120144,0.44362139917695476,0.5563786008230452,2280,1032,344,496,155,37,1248,346,521,298,83,0.3333333333333333,0.4806201550387597,0.1501937984496124,0.035852713178294575,0.27724358974358976,0.41746794871794873,0.2387820512820513,0.06650641025641026,0.13353489543965735,0.2176814011676397,20176,31042.0,35620.0,5823.0,18184.0,20362.0,6601.0,0.06405693950177936,0.06199460916442048
28131,"Stone County, Mississippi",577,189,286,627,568,990,0.4792358803986711,0.520764119601329,0.22413793103448276,0.7758620689655172,0.24966974900924702,0.750330250990753,3506,1862,1644,1326,1412,450,292,742,0.46891043924700515,0.5310895607529948,0.48429510591672753,0.5157048940832725,0.6064690026954178,0.3935309973045822,2261,1047,340,530,141,36,1214,235,416,374,189,0.3247373447946514,0.5062082139446036,0.1346704871060172,0.034383954154727794,0.19357495881383854,0.342668863261944,0.30807248764415157,0.1556836902800659,0.24107973937325472,0.32047347654537484,20671,18362.0,31994.0,,21688.0,20966.0,,0.03592814371257485,0.22772277227722773
28133,"Sunflower County, Mississippi",1612,2931,2817,3681,2343,4117,0.3045531834498394,0.6954468165501606,0.4062590135563888,0.5937409864436112,0.555745164960182,0.444254835039818,20228,10529,9699,7041,7868,2661,2275,4936,0.47948388372552897,0.520516116274471,0.4722650747870414,0.5277349252129586,0.5391004862236629,0.4608995137763371,12548,6550,2380,2285,1465,420,5998,1558,1280,2034,1126,0.36335877862595417,0.34885496183206105,0.22366412213740458,0.06412213740458016,0.25975325108369457,0.21340446815605202,0.3391130376792264,0.187729243081027,0.2210389168979777,0.3329310184755362,19883,21174.0,29619.0,7449.0,17429.0,24616.0,7116.0,0.2211493170042393,0.2754307948860478
28135,"Tallahatchie County, Mississippi",235,1363,891,866,816,1442,0.2134423251589464,0.7865576748410535,0.3819117016716674,0.6180882983283326,0.6255162918770077,0.3744837081229922,6889,3423,3466,2343,2340,1083,745,1828,0.503120917404558,0.496879082595442,0.5003203074951954,0.4996796925048046,0.5924507658643327,0.4075492341356674,4104,1896,825,625,403,43,2208,648,680,681,199,0.435126582278481,0.32964135021097046,0.21255274261603377,0.02267932489451477,0.29347826086956524,0.3079710144927536,0.30842391304347827,0.0901268115942029,0.1374113475177305,0.2676481691204228,20041,22578.0,28214.0,4260.0,19615.0,22159.0,5043.0,0.19110764430577223,0.17024793388429751
28137,"Tate County, Mississippi",629,683,801,1847,1336,2276,0.25403877221324717,0.7459612277867528,0.2603184920376991,0.7396815079623009,0.3382862803368004,0.6617137196631996,8663,4013,4650,3567,2856,1157,1249,2406,0.5367655546577398,0.46323444534226016,0.5553479682391406,0.44465203176085943,0.48088113050706566,0.5191188694929343,5068,2197,772,788,565,72,2871,798,884,818,371,0.3513882567137005,0.35867091488393266,0.25716886663632227,0.032771961766044605,0.2779519331243469,0.30790665273423895,0.2849181469871125,0.12922326715430163,0.159439076125383,0.2399490631253411,20617,21100.0,28333.0,7837.0,20154.0,26697.0,10228.0,0.12079883097905504,0.15665236051502146
28139,"Tippah County, Mississippi",330,573,415,944,474,870,0.25902668759811615,0.7409733124018838,0.3229571984435798,0.6770428015564203,0.5472779369627507,0.45272206303724927,3741,1825,1916,1347,1302,523,479,1002,0.5121625233894681,0.48783747661053195,0.5084937712344281,0.49150622876557193,0.5219560878243513,0.4780439121756487,2239,1090,239,474,317,60,1149,270,305,441,133,0.21926605504587157,0.43486238532110094,0.2908256880733945,0.05504587155963303,0.2349869451697128,0.2654482158398607,0.3838120104438642,0.11575282854656223,0.15855952700886858,0.2538253825382538,23275,24122.0,27115.0,15233.0,22855.0,25363.0,4590.0,0.15636363636363637,0.2826780021253985
28141,"Tishomingo County, Mississippi",24,24,79,72,23,147,0.25,0.75,0.3495575221238938,0.6504424778761062,0.5106382978723404,0.48936170212765956,470,179,291,266,157,22,36,58,0.6191489361702127,0.38085106382978723,0.6288416075650118,0.37115839243498816,0.3793103448275862,0.6206896551724138,383,135,27,74,23,11,248,61,83,64,40,0.2,0.5481481481481482,0.17037037037037037,0.08148148148148149,0.24596774193548387,0.3346774193548387,0.25806451612903225,0.16129032258064516,0.23218997361477572,0.34782608695652173,14402,23500.0,,,,,2500.0,0.05405405405405406,0.10344827586206896
28143,"Tunica County, Mississippi",388,1080,939,1971,1622,1987,0.16447647308181432,0.8355235269181857,0.3209159261790841,0.679084073820916,0.3997039230199852,0.6002960769800149,8050,3717,4333,2957,2391,1326,930,2256,0.5382608695652173,0.4617391304347826,0.5529169783096485,0.4470830216903515,0.5877659574468085,0.4122340425531915,4581,1985,421,785,462,317,2596,786,628,823,359,0.21209068010075566,0.3954659949622166,0.2327455919395466,0.1596977329974811,0.30277349768875195,0.24191063174114022,0.31702619414483824,0.13828967642526965,0.15700513334168023,0.25191815856777494,22357,25644.0,26875.0,12045.0,19792.0,30243.0,7168.0,0.15936863543788188,0.06451612903225806
28145,"Union County, Mississippi",224,560,310,1164,452,1242,0.16138328530259366,0.8386167146974063,0.19974226804123713,0.8002577319587629,0.5533596837944664,0.44664031620553357,4075,1919,2156,1591,1469,450,454,904,0.529079754601227,0.47092024539877303,0.5199346405228759,0.4800653594771242,0.497787610619469,0.5022123893805309,2661,1259,320,593,304,42,1402,415,390,415,182,0.2541699761715647,0.4710087370929309,0.2414614773629865,0.03335980937251787,0.29600570613409416,0.2781740370898716,0.29600570613409416,0.12981455064194009,0.15435222672064777,0.23305254713196952,19451,20284.0,25455.0,11848.0,18509.0,21755.0,7383.0,0.15130260521042085,0.10828877005347594
28147,"Walthall County, Mississippi",689,722,889,1529,1193,1667,0.3106402164111812,0.6893597835888188,0.34780907668231614,0.6521909233176839,0.37702349869451696,0.622976501305483,6782,3327,3455,2581,2245,1082,797,1879,0.5094367443232085,0.4905632556767915,0.5348114380439287,0.4651885619560713,0.5758382118147951,0.4241617881852049,3961,1783,592,747,372,72,2178,588,755,565,270,0.3320246775098149,0.4189568143578239,0.20863712843522153,0.040381379697139654,0.2699724517906336,0.3466483011937557,0.2594123048668503,0.12396694214876033,0.1961367013372957,0.32866433216608304,16825,25727.0,38023.0,10600.0,13641.0,20931.0,8582.0,0.12236286919831224,0.11793214862681745
28149,"Warren County, Mississippi",1813,3596,3028,5345,3168,5906,0.2532830399552948,0.7467169600447052,0.33892993060219384,0.6610700693978061,0.5316380839739799,0.4683619160260201,23123,10691,12432,9020,7304,3387,2813,6200,0.5376464991566838,0.46235350084331617,0.5525606469002695,0.4474393530997305,0.5462903225806451,0.45370967741935486,14030,6222,1279,2598,1559,786,7808,1220,2567,2429,1592,0.20556091288974607,0.4175506268081003,0.25056252009000324,0.12632594021215043,0.15625,0.328765368852459,0.31109118852459017,0.2038934426229508,0.1720777802053747,0.24548451834862386,21055,22414.0,30491.0,10685.0,20034.0,25425.0,10192.0,0.07828134196586227,0.11691366737238297
28151,"Washington County, Mississippi",3537,5887,5305,7149,4332,8353,0.3309938236945536,0.6690061763054463,0.3884170449553375,0.6115829550446624,0.5760837655347881,0.42391623446521187,34990,16026,18964,13817,10826,5200,4228,9428,0.5419834238353816,0.45801657616461844,0.5606866047153349,0.439313395284665,0.5515485787017395,0.4484514212982605,20835,8937,2562,3092,2394,889,11898,3067,3213,3297,2321,0.28667338032896944,0.34597739733691396,0.2678751258811682,0.09947409645294841,0.25777441586821315,0.2700453857791225,0.2771053958648512,0.1950748024878131,0.22264205364868764,0.32334869431643626,20017,21891.0,31815.0,8441.0,18778.0,26533.0,9685.0,0.20072763768661397,0.3049265605875153
28153,"Wayne County, Mississippi",935,1296,1360,1600,962,1765,0.368836291913215,0.631163708086785,0.4352,0.5648,0.5739592559787422,0.42604074402125774,8082,3736,4346,3142,2551,1185,1178,2363,0.5377381836179164,0.46226181638208363,0.5519058492886,0.44809415071139996,0.501481168006771,0.49851883199322894,4831,2132,615,1079,340,98,2699,722,1045,741,191,0.28846153846153844,0.5060975609756098,0.15947467166979362,0.04596622889305816,0.2675064838829196,0.38718043719896256,0.274546128195628,0.07076695072248981,0.2085095794973874,0.33088235294117646,20448,30028.0,32077.0,10793.0,16947.0,23655.0,7937.0,0.15677966101694915,0.15940054495912806
28155,"Webster County, Mississippi",218,310,327,405,187,424,0.34991974317817015,0.6500802568218299,0.43541944074567246,0.5645805592543276,0.6237424547283702,0.3762575452716298,1903,889,1014,758,648,241,177,418,0.5328428796636889,0.46715712033631107,0.5391180654338549,0.46088193456614507,0.5765550239234449,0.423444976076555,1260,572,146,249,152,25,688,155,238,165,130,0.25524475524475526,0.4353146853146853,0.26573426573426573,0.043706293706293704,0.22529069767441862,0.34593023255813954,0.23982558139534885,0.18895348837209303,0.15285943345804381,0.22522522522522523,18475,29471.0,32708.0,4609.0,16078.0,22283.0,5809.0,0.1797520661157025,0.15129151291512916
28157,"Wilkinson County, Mississippi",684,1029,904,1117,575,1397,0.37978900610771793,0.6202109938922821,0.39287266405910476,0.6071273359408953,0.6415211970074813,0.3584788029925187,6598,3453,3145,2324,2659,794,636,1430,0.47665959381630796,0.523340406183692,0.466385711418824,0.533614288581176,0.5552447552447553,0.44475524475524475,4405,2346,1087,877,309,73,2059,394,890,402,373,0.46334185848252346,0.37382779198635974,0.13171355498721227,0.03111679454390452,0.1913550267119961,0.43224866440019427,0.19524040796503156,0.18115590092277806,0.1831380094455134,0.28755236385397964,24007,31667.0,40500.0,11818.0,22846.0,25605.0,7188.0,0.06970509383378017,0.2160737812911726
28159,"Winston County, Mississippi",752,1601,1471,1964,943,1873,0.2768777614138439,0.7231222385861561,0.43989234449760767,0.5601076555023924,0.6293238993710691,0.3706761006289308,8869,4268,4601,3364,2944,1324,743,2067,0.518773255158417,0.48122674484158307,0.533291058972733,0.46670894102726695,0.6405418480890179,0.3594581519109821,5511,2535,833,943,703,56,2976,902,1063,671,340,0.32859960552268247,0.37199211045364894,0.27731755424063115,0.022090729783037475,0.3030913978494624,0.35719086021505375,0.22547043010752688,0.11424731182795698,0.163081599251812,0.26556264964086196,17129,21860.0,28279.0,13214.0,14692.0,23664.0,5874.0,0.2308483290488432,0.1460151250727167
28161,"Yalobusha County, Mississippi",280,574,520,1301,792,1398,0.17710309930423782,0.8228969006957622,0.2711157455683003,0.7288842544316997,0.42020497803806733,0.5797950219619327,4941,2326,2615,1939,1603,723,593,1316,0.5292450920866222,0.4707549079133779,0.5474308300395256,0.4525691699604743,0.5493920972644377,0.4506079027355623,3087,1411,302,784,243,82,1676,325,461,719,171,0.21403260099220411,0.5556343019135365,0.17221828490432317,0.058114812189936214,0.19391408114558473,0.27505966587112174,0.42899761336515513,0.10202863961813842,0.11860226104830421,0.1883665877578627,23825,27107.0,31029.0,7669.0,21313.0,24814.0,9309.0,0.05692307692307692,0.03657262277951933
28163,"Yazoo County, Mississippi",1498,2602,2307,3193,1829,2939,0.3193348966105308,0.6806651033894692,0.43976362943194813,0.5602363705680519,0.587226359738208,0.4127736402617919,16376,8916,7460,5316,6548,2368,1809,4177,0.45554469956033217,0.5444553004396678,0.4480782198246797,0.5519217801753203,0.5669140531481924,0.4330859468518075,10158,5667,1614,2559,1218,276,4491,1145,1722,996,628,0.2848067760719958,0.45156167284277393,0.21492853361566966,0.048703017469560614,0.25495435315074594,0.3834335337341349,0.22177688710754842,0.1398352260075707,0.20467147213751039,0.31075418994413406,17228,17198.0,24198.0,4178.0,17254.0,25488.0,8101.0,0.23887973640856672,0.253043764396183
