Id2,Geography,IBP_Men,IBP_Children,IBP_Women,IAP_Men,IAP_Children,IAP_Women,Percent_IBP_Men,Percent_IAP_Men,Percent_IBP_Women,Percent_IAP_Women,Percent_IBP_Children,Percent_IAP_Children,Total_Population,Male,Female,Women,Men,Boys,Girls,Children,Percent_Female,Percent_Male,Percent_Women,Percent_Men,Percent_Boys,Percent_Girls,Total_Pop_Education,Male_Pop_Education,Male_Less_than_high_school_diploma,Male_High_school_graduate_(includes_equivalency),Male_Some_college_or_associates_degree,Male_Bachelors_degree_or_higher,Female_Pop_Education,Female_Less_than_high_school_diploma,Female_High_school_graduate_(includes_equivalency),Female_Some_college_or_associates_degree,Female_Bachelors_degree_or_higher,P_Male_Less_than_high_school_diploma,P_Male_High_school_graduate_(includes_equivalency),P_Male_Some_college_or_associates_degree,P_Male_Bachelors_degree_or_higher,P_Female_Less_than_high_school_diploma,P_Female_High_school_graduate_(includes_equivalency),P_Female_Some_college_or_associates_degree,P_Female_Bachelors_degree_or_higher,P_NoHealthInsurance,P_18to64_NoHealthInsurance,Total_Median_Earnings,Male_Median_Earnings,Male_FT_Median_Earnings,Male_Other_Median_Earnings,Female_Median_Earnings,Female_FT_Median_Earnings,Female_Other_Median_Earnings,Female_Unemployment_Rate,Male_Unemployment_Rate
28057,"Itawamba County, Mississippi",119,144,153,364,139,321,0.2463768115942029,0.7536231884057971,0.3227848101265823,0.6772151898734177,0.508833922261484,0.4911660777385159,1608,826,782,639,678,148,251,399,0.486318407960199,0.513681592039801,0.48519362186788156,0.5148063781321185,0.37092731829573933,0.6290726817042607,903,452,138,145,162,7,451,97,128,158,68,0.3053097345132743,0.32079646017699115,0.3584070796460177,0.015486725663716814,0.21507760532150777,0.2838137472283814,0.35033259423503327,0.15077605321507762,0.11946902654867257,0.15345699831365936,22480,24075.0,30417.0,5517.0,20338.0,29375.0,,0.0,0.08022922636103152
28059,"Jackson County, Mississippi",2016,3198,3234,7995,5163,8707,0.20137848366796524,0.7986215163320347,0.2708315886441672,0.7291684113558329,0.3824901327592393,0.6175098672407606,30621,14503,16118,11986,10238,4265,3579,7844,0.5263707912870252,0.47362920871297476,0.5393268538516919,0.4606731461483081,0.543727689954105,0.45627231004589497,18932,8549,1255,3360,3220,714,10383,1305,2741,4411,1926,0.1468007954146684,0.39302842437712016,0.37665224002807346,0.08351854018013803,0.12568621785611095,0.2639892131368583,0.42482904748146005,0.18549552152557064,0.17613299030279042,0.2619545882599142,24719,28500.0,40689.0,11016.0,23258.0,31389.0,8363.0,0.09618278834313859,0.1913322632423756
28061,"Jasper County, Mississippi",686,895,849,2398,1414,2585,0.22243839169909208,0.7775616083009079,0.24723354688410018,0.7527664531158998,0.3876136855781724,0.6123863144218277,8859,4260,4599,3440,3101,1159,925,2084,0.5191330849983068,0.4808669150016932,0.5259134688885492,0.4740865311114508,0.5561420345489443,0.44385796545105566,5636,2650,531,1159,805,155,2986,529,991,1033,433,0.20037735849056604,0.43735849056603776,0.30377358490566037,0.05849056603773585,0.1771600803750837,0.3318821165438714,0.3459477561955794,0.1450100468854655,0.14862406186035934,0.24037735849056605,22201,25325.0,31713.0,7639.0,21588.0,25410.0,13545.0,0.11488398415393322,0.06088992974238876
28063,"Jefferson County, Mississippi",659,951,1202,1454,637,1275,0.3118788452437293,0.6881211547562707,0.48526443278159065,0.5147355672184094,0.5988664987405542,0.40113350125944586,6488,3212,3276,2493,2407,805,695,1500,0.5049321824907521,0.49506781750924783,0.5087755102040816,0.4912244897959184,0.5366666666666666,0.4633333333333333,4093,1919,543,755,363,258,2174,455,657,603,459,0.2829598749348619,0.39343408025013027,0.18916102136529442,0.1344450234497134,0.20929162833486661,0.30220791168353267,0.27736890524379026,0.21113155473781048,0.12787309808999675,0.2053014553014553,20533,21186.0,31415.0,16623.0,19429.0,22068.0,12004.0,0.06910167818361303,0.21878335112059766
28065,"Jefferson Davis County, Mississippi",638,1038,1262,1836,633,1684,0.25788197251414713,0.7421180274858529,0.428377460964019,0.571622539035981,0.6211849192100538,0.37881508078994613,7209,3434,3775,2959,2495,939,739,1678,0.5236509918157858,0.47634900818421416,0.5425375870920426,0.45746241290795747,0.5595947556615017,0.4404052443384982,4677,2111,646,795,532,138,2566,519,909,703,435,0.30601610611084795,0.3765987683562293,0.25201326385599243,0.06537186167693036,0.20226032735775526,0.3542478565861263,0.27396726422447387,0.16952455183164458,0.19010452961672475,0.28834493599820343,18287,25928.0,38843.0,10139.0,16066.0,20851.0,8836.0,0.17761873780091086,0.16678752719361856
28067,"Jones County, Mississippi",1603,3285,2870,4353,2732,4413,0.26914036265950303,0.730859637340497,0.39406837841548814,0.6059316215845119,0.5459531327904271,0.4540468672095729,19807,9344,10463,7491,6266,3078,2372,5450,0.5282475892361287,0.47175241076387137,0.5445227883986334,0.45547721160136656,0.5647706422018348,0.43522935779816513,11379,5098,1636,1646,1587,229,6281,1425,1560,2402,894,0.32091016084739116,0.32287171439780304,0.3112985484503727,0.04491957630443311,0.22687470148065594,0.24836809425250755,0.38242318102213024,0.14233402324470626,0.11187273006291881,0.1734336268057099,18366,19676.0,21638.0,15089.0,17235.0,21911.0,7351.0,0.1268745536776958,0.13838353713092752
28069,"Kemper County, Mississippi",538,869,861,1414,515,1322,0.27561475409836067,0.7243852459016393,0.3944113605130554,0.6055886394869445,0.6278901734104047,0.37210982658959535,6106,2990,3116,2358,2352,638,722,1360,0.5103177202751392,0.4896822797248608,0.5006369426751592,0.49936305732484076,0.46911764705882353,0.5308823529411765,4011,2060,481,885,482,212,1951,471,449,806,225,0.23349514563106796,0.42961165048543687,0.23398058252427184,0.1029126213592233,0.24141465914915428,0.230138390568939,0.4131214761660687,0.11532547411583803,0.12441436751691827,0.19420451379214265,15865,16916.0,27132.0,6133.0,15405.0,22692.0,10837.0,0.13817891373801916,0.0873215785054576
28071,"Lafayette County, Mississippi",958,1280,1697,3073,1554,3298,0.23765814934259488,0.7623418506574051,0.33973973973973975,0.6602602602602603,0.4516584333098095,0.5483415666901905,12503,5799,6704,5291,4376,1423,1968,3391,0.5361913140846197,0.4638086859153803,0.5473259542774387,0.4526740457225613,0.41964022412267765,0.5803597758773223,7101,3192,510,1239,1083,360,3909,794,1096,1095,924,0.15977443609022557,0.3881578947368421,0.3392857142857143,0.11278195488721804,0.20312100281401893,0.2803786134561269,0.28012279355333847,0.23637759017651575,0.13480332767950892,0.1912313432835821,19722,25369.0,34322.0,6775.0,16774.0,30020.0,4590.0,0.11746122917863297,0.1028533510285335
28073,"Lamar County, Mississippi",355,1331,1332,3023,2325,3322,0.10509177027827117,0.8949082297217288,0.2862054146970348,0.7137945853029652,0.3640590809628009,0.6359409190371991,11863,5275,6588,4715,3471,1804,1779,3583,0.5553401331872208,0.44465986681277925,0.5759833862692402,0.42401661373075983,0.5034886966229417,0.49651130337705834,6732,2825,285,930,880,730,3907,440,822,1538,1107,0.10088495575221239,0.3292035398230089,0.31150442477876106,0.2584070796460177,0.11261837727156386,0.21039160481187613,0.39365241873560275,0.28333759918095724,0.13602623856378387,0.1867998380348225,25425,31148.0,43406.0,,17166.0,30930.0,10315.0,0.177863436123348,0.10966693744922827
28075,"Lauderdale County, Mississippi",2196,5650,4829,7384,3606,8148,0.22922755741127349,0.7707724425887265,0.37211990444632814,0.6278800955536719,0.6104148660328436,0.38958513396715644,33691,15845,17846,13231,11044,4801,4071,8872,0.5296963580778249,0.47030364192217505,0.5450463439752832,0.45495365602471677,0.5411406672678089,0.45885933273219115,20379,9185,2534,3563,2469,619,11194,2016,2953,4606,1619,0.2758845944474687,0.387915078933043,0.2688078388677191,0.06739248775176919,0.18009648025728067,0.26380203680543146,0.4114704305878149,0.14463105234947293,0.19150860993261792,0.28089657642904664,18831,20508.0,26338.0,7936.0,17237.0,23140.0,7900.0,0.13472436888201958,0.11165568999846837
28077,"Lawrence County, Mississippi",358,580,564,1016,575,1071,0.26055312954876275,0.7394468704512372,0.344954128440367,0.655045871559633,0.5021645021645021,0.49783549783549785,4164,1944,2220,1635,1374,570,553,1123,0.5331412103746398,0.4668587896253602,0.543369890329013,0.45663010967098705,0.5075690115761353,0.4924309884238646,2583,1207,417,400,233,157,1376,334,391,489,162,0.34548467274233635,0.33140016570008285,0.19304059652029826,0.1300745650372825,0.24273255813953487,0.28415697674418605,0.3553779069767442,0.11773255813953488,0.15321805955811718,0.22464898595943839,22224,26953.0,41853.0,10096.0,18571.0,24539.0,10055.0,0.12176724137931035,0.14393939393939395
28079,"Leake County, Mississippi",684,1661,1213,2064,1437,2057,0.24890829694323144,0.7510917030567685,0.3709480122324159,0.6290519877675841,0.5361523563589412,0.46384764364105874,9618,4893,4725,3317,3168,1725,1190,2915,0.4912663755458515,0.5087336244541485,0.5114880493446414,0.4885119506553585,0.5917667238421955,0.40823327615780447,5494,2613,704,1249,478,182,2881,697,914,942,328,0.26942212016838885,0.47799464217374665,0.18293149636433217,0.06965174129353234,0.24192988545643873,0.3172509545296772,0.32696980215203053,0.11384935786185352,0.15946479491116472,0.22925209919937511,18226,18403.0,30134.0,8977.0,18106.0,21670.0,10658.0,0.13100436681222707,0.16034985422740525
28081,"Lee County, Mississippi",1315,3405,3111,5856,4040,6195,0.18337749267884534,0.8166225073211546,0.3343004513217279,0.6656995486782721,0.45735392881128273,0.5426460711887172,24326,11227,13099,9353,7368,3859,3278,7137,0.5384773493381567,0.4615226506618433,0.5593564978171162,0.4406435021828838,0.5407033767689505,0.4592966232310495,14044,6082,1359,2208,1992,523,7962,1847,2243,2748,1124,0.2234462347911871,0.363038474186123,0.32752384084182834,0.08599145018086156,0.23197689022858578,0.28171313740266263,0.34513941220798794,0.14117056016076363,0.14290464710283482,0.21720195971692977,20460,24366.0,28707.0,7648.0,18259.0,23591.0,10369.0,0.09073753734863972,0.10609874152952566
28083,"Leflore County, Mississippi",2381,4148,3864,3929,2451,4393,0.377337559429477,0.622662440570523,0.467966573816156,0.532033426183844,0.6285800878921048,0.37141991210789516,22219,10264,11955,8689,6879,3385,2992,6377,0.5380530176875647,0.4619469823124353,0.5581320657759506,0.44186793422404935,0.5308138623177042,0.4691861376822957,12538,5424,1447,2032,1367,578,7114,1672,2483,1681,1278,0.26677728613569324,0.3746312684365782,0.25202802359882004,0.10656342182890856,0.23502951925780152,0.3490300815293787,0.23629463030643802,0.1796457689063818,0.18255198832542868,0.27926509186351706,20707,25347.0,31471.0,5711.0,17585.0,24816.0,6422.0,0.1796875,0.17549457562220805
28085,"Lincoln County, Mississippi",822,1551,1554,2550,1295,2678,0.24377224199288255,0.7562277580071174,0.3672022684310019,0.6327977315689981,0.544975404075896,0.455024595924104,10688,4962,5726,4361,3439,1523,1277,2800,0.5357410179640718,0.46425898203592814,0.5591025641025641,0.4408974358974359,0.5439285714285714,0.45607142857142857,6636,2928,654,1144,893,237,3708,580,1221,1165,742,0.22336065573770492,0.3907103825136612,0.3049863387978142,0.08094262295081968,0.15641855447680691,0.32928802588996764,0.31418554476806904,0.2001078748651564,0.17661691542288557,0.2690953620082657,20861,22599.0,28786.0,7584.0,18472.0,23812.0,9076.0,0.10453100158982512,0.10311284046692606
28087,"Lowndes County, Mississippi",2056,3219,3656,6042,3704,6612,0.2538898493455174,0.7461101506544826,0.3560576548500195,0.6439423451499805,0.4649718330203669,0.5350281669796331,26031,11954,14077,10633,8317,3637,3138,6775,0.5407783027928239,0.45922169720717604,0.5611081794195251,0.43889182058047493,0.5368265682656826,0.46317343173431735,15888,6928,1804,2799,1838,487,8960,2107,2552,2827,1474,0.2603926096997691,0.4040127020785219,0.2653002309468822,0.07029445727482679,0.23515625,0.28482142857142856,0.31551339285714286,0.16450892857142857,0.17793997111744272,0.26026805015131865,19005,21796.0,30917.0,9033.0,16275.0,23896.0,8411.0,0.16081330868761554,0.20864381520119224
28089,"Madison County, Mississippi",2051,3606,3433,9827,7321,11686,0.17267216703148677,0.8273278329685132,0.22706528209537669,0.7729347179046233,0.3300082364784479,0.6699917635215521,38863,17902,20961,15538,12292,5610,5003,10613,0.5393561999845612,0.46064380001543886,0.5583183614804168,0.4416816385195832,0.5285970036747385,0.47140299632526145,23283,10147,2099,2768,3129,2151,13136,2122,2877,4363,3774,0.2068591701980881,0.27278998718833153,0.3083670050261161,0.21198383758746428,0.16154080389768574,0.21901644336175397,0.3321406820950061,0.2873020706455542,0.11878180496417073,0.1636273619935638,27958,29105.0,39786.0,7422.0,26694.0,33089.0,9565.0,0.10304601425793908,0.07961142044781425
28091,"Marion County, Mississippi",930,1457,1422,1733,749,1786,0.34923019151333085,0.6507698084866692,0.44326683291770574,0.5567331670822943,0.6604714415231188,0.33952855847688124,8323,3986,4337,3279,2835,1151,881,2032,0.5210861468220593,0.47891385317794066,0.5363101079489696,0.4636898920510304,0.5664370078740157,0.43356299212598426,5166,2331,558,1126,526,121,2835,600,833,987,415,0.23938223938223938,0.48305448305448306,0.22565422565422566,0.05190905190905191,0.21164021164021163,0.2938271604938272,0.34814814814814815,0.14638447971781304,0.1547604308530395,0.23566619057335236,15931,28211.0,35000.0,6236.0,14780.0,18118.0,6464.0,0.061955965181771634,0.15637319316688567
28093,"Marshall County, Mississippi",802,1394,1283,4623,2750,5073,0.14783410138248848,0.8521658986175116,0.20185651353052234,0.7981434864694776,0.3363899613899614,0.6636100386100386,17306,8332,8974,6821,6341,1991,2199,4190,0.5185484802958511,0.48145151970414884,0.5182343108950007,0.48176568910499923,0.47517899761336513,0.5248210023866349,10878,5272,1778,2184,904,406,5606,1212,2012,1678,704,0.33725341426403643,0.4142640364188164,0.17147192716236723,0.07701062215477997,0.2161969318587228,0.35890117731002497,0.2993221548341063,0.12557973599714592,0.15759485998302825,0.24152501680591568,27504,30952.0,37491.0,4812.0,23295.0,31183.0,9180.0,0.11135551278526258,0.08708025042686397
28095,"Monroe County, Mississippi",718,1539,1549,2888,1279,2846,0.19911259012756516,0.8008874098724348,0.3524459613196815,0.6475540386803186,0.5461320085166785,0.4538679914833215,10979,5190,5789,4443,3718,1472,1241,2713,0.5272793514892067,0.4727206485107933,0.544418576154883,0.455581423845117,0.5425727976409879,0.4574272023590122,7087,3145,988,1404,526,227,3942,1019,1332,1196,395,0.3141494435612083,0.446422893481717,0.16724960254372018,0.07217806041335453,0.2584982242516489,0.3378995433789954,0.30339928970065955,0.10020294266869609,0.16674369165357242,0.2640023770613579,22810,28328.0,32059.0,13144.0,19260.0,23943.0,9484.0,0.15928189457601222,0.14968722073279714
28097,"Montgomery County, Mississippi",254,1029,842,1204,181,1079,0.17421124828532236,0.8257887517146777,0.43831337844872464,0.5616866215512754,0.8504132231404958,0.14958677685950414,4638,2102,2536,1937,1483,619,570,1189,0.5467874083656749,0.45321259163432515,0.566374269005848,0.433625730994152,0.520605550883095,0.479394449116905,2983,1300,510,421,291,78,1683,581,561,304,237,0.3923076923076923,0.32384615384615384,0.22384615384615383,0.06,0.3452168746286393,0.3333333333333333,0.1806298276886512,0.1408199643493761,0.1224711768544703,0.18686131386861313,20634,30865.0,36707.0,6652.0,16425.0,19579.0,10227.0,0.07891491985203453,0.06335403726708075
28099,"Neshoba County, Mississippi",372,1031,841,1343,1073,1463,0.21690962099125363,0.7830903790087463,0.3650173611111111,0.6349826388888888,0.4900190114068441,0.5099809885931559,6266,2867,3399,2346,1800,1067,741,1808,0.5424513246090009,0.457548675390999,0.5658465991316932,0.4341534008683068,0.5901548672566371,0.4098451327433628,3501,1506,482,679,231,114,1995,494,725,621,155,0.3200531208499336,0.45086321381142097,0.15338645418326693,0.07569721115537849,0.24761904761904763,0.3634085213032581,0.3112781954887218,0.07769423558897243,0.1512330556916544,0.2557130459936361,19456,26084.0,39737.0,12824.0,13720.0,21988.0,7737.0,0.07681849082256968,0.11607843137254902
